Date,Calls,day,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,is_holiday
2017-04-22,301,22,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0
2017-04-23,284,23,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0
2017-04-24,524,24,0.0,1.0,1.0,6.123233995736766e-17,0.8854560256532099,-0.4647231720437685,0
2017-04-25,514,25,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.8854560256532099,-0.4647231720437685,0
2017-04-26,575,26,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.8854560256532099,-0.4647231720437685,0
2017-04-27,465,27,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.8854560256532099,-0.4647231720437685,0
2017-04-28,448,28,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.8854560256532099,-0.4647231720437685,0
2017-04-29,318,29,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8854560256532099,-0.4647231720437685,0
2017-04-30,274,30,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.8854560256532099,-0.4647231720437685,0
2017-05-01,618,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0
2017-05-02,589,2,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0
2017-05-03,538,3,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0
2017-05-04,490,4,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0
2017-05-05,531,5,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0
2017-05-06,288,6,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0
2017-05-07,306,7,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0
2017-05-08,531,8,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0
2017-05-09,528,9,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0
2017-05-10,485,10,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0
2017-05-11,499,11,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0
2017-05-12,475,12,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0
2017-05-13,311,13,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0
2017-05-14,227,14,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0
2017-05-15,568,15,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0
2017-05-16,600,16,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0
2017-05-17,550,17,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0
2017-05-18,542,18,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0
2017-05-19,525,19,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0
2017-05-20,339,20,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0
2017-05-21,304,21,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0
2017-05-22,581,22,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,0
2017-05-23,537,23,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,0
2017-05-24,575,24,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,0
2017-05-25,496,25,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,0
2017-05-26,482,26,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,0
2017-05-27,352,27,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,0
2017-05-28,287,28,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,0
2017-05-29,309,29,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.46472317204376906,-0.8854560256532096,1
2017-05-30,576,30,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.46472317204376906,-0.8854560256532096,0
2017-05-31,610,31,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.46472317204376906,-0.8854560256532096,0
2017-06-01,497,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,0
2017-06-02,473,2,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,0
2017-06-03,315,3,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,0
2017-06-04,311,4,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,0
2017-06-05,406,5,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0
2017-06-06,500,6,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0
2017-06-07,542,7,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0
2017-06-08,517,8,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0
2017-06-09,444,9,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0
2017-06-10,306,10,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0
2017-06-11,325,11,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0
2017-06-12,558,12,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0
2017-06-13,506,13,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0
2017-06-14,546,14,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0
