Date,Calls,,,,
7/15/2019,398,,,,
7/16/2019,368,,,,
7/17/2019,389,,,,
7/18/2019,386,,,,
7/19/2019,388,,,,
7/20/2019,363,,,,
7/21/2019,307,,,,
7/22/2019,363,,,,
7/23/2019,383,,,,
7/24/2019,356,,,,
7/25/2019,408,,,,
7/26/2019,363,,,,
7/27/2019,320,,,,
7/28/2019,279,,,,
7/29/2019,384,,,,
7/30/2019,369,,,,
7/31/2019,410,,,,
8/1/2019,402,,,,
8/2/2019,368,,,,
8/3/2019,330,,,,
8/4/2019,322,,,,
8/5/2019,436,,,,
8/6/2019,395,,,,
8/7/2019,408,,,,
8/8/2019,386,,,,
8/9/2019,343,,,,
8/10/2019,308,,,,
8/11/2019,298,,,,
8/12/2019,426,,,,
8/13/2019,368,,,,
8/14/2019,387,,,,
8/15/2019,360,,,,
8/16/2019,360,,,,
8/17/2019,310,,,,
8/18/2019,327,,,,
8/19/2019,412,,,,
8/20/2019,396,,,,
8/21/2019,399,,,,
8/22/2019,417,,,,
8/23/2019,366,,,,
8/24/2019,288,,,,
8/25/2019,318,,,,
8/26/2019,410,,,,
8/27/2019,364,,,,
8/28/2019,376,,,,
8/29/2019,377,,,,
8/30/2019,353,,,,
8/31/2019,320,,,,
9/1/2019,271,,,,
9/2/2019,339,,,,
9/3/2019,386,,,,
9/4/2019,397,,,,
9/5/2019,404,,,,
9/6/2019,374,,,,
9/7/2019,327,,,,
9/8/2019,303,,,,
9/9/2019,377,,,,
9/10/2019,378,,,,
9/11/2019,382,,,,
9/12/2019,382,,,,
9/13/2019,365,,,,
9/14/2019,303,,,,
9/15/2019,290,,,,
9/16/2019,404,,,,
9/17/2019,391,,,,
9/18/2019,363,,,,
9/19/2019,357,,,,
9/20/2019,321,,,,
9/21/2019,313,,,,
9/22/2019,286,,,,
9/23/2019,361,,,,
9/24/2019,384,,,,
9/25/2019,397,,,,
9/26/2019,370,,,,
9/27/2019,343,,,,
9/28/2019,297,,,,
9/29/2019,297,,,,
9/30/2019,364,,,,
10/1/2019,350,,,,
10/2/2019,356,,,,
10/3/2019,358,,,,
10/4/2019,356,,,,
10/5/2019,278,,,,
10/6/2019,245,,,,
10/7/2019,384,,,,
10/8/2019,358,,,,
10/9/2019,351,,,,
10/10/2019,345,,,,
10/11/2019,364,,,,
10/12/2019,293,,,,
10/13/2019,270,,,,
10/14/2019,349,,,,
10/15/2019,378,,,,
10/16/2019,360,,,,
10/17/2019,347,,,,
10/18/2019,327,,,,
10/19/2019,272,,,,
10/20/2019,264,,,,
10/21/2019,367,,,,
10/22/2019,357,,,,
10/23/2019,353,,,,
10/24/2019,379,,,,
10/25/2019,361,,,,
10/26/2019,279,,,,
10/27/2019,287,,,,
10/28/2019,332,,,,
10/29/2019,332,,,,
10/30/2019,373,,,,
10/31/2019,335,,,,
11/1/2019,335,,,,
11/2/2019,259,,,,
11/3/2019,292,,,,
11/4/2019,348,,,,
11/5/2019,319,,,,
11/6/2019,337,,,,
11/7/2019,320,,,,
11/8/2019,296,,,,
11/9/2019,302,,,,
11/10/2019,290,,,,
11/11/2019,340,,,,
11/12/2019,323,,,,
11/13/2019,297,,,,
11/14/2019,330,,,,
11/15/2019,330,,,,
11/16/2019,263,,,,
11/17/2019,264,,,,
11/18/2019,343,,,,
11/19/2019,343,,,,
11/20/2019,338,,,,
11/21/2019,317,,,,
11/22/2019,318,,,,
11/23/2019,263,,,,
11/24/2019,250,,,,
11/25/2019,322,,,,
11/26/2019,330,,,,
11/27/2019,290,,,,
11/28/2019,251,,,,
11/29/2019,260,,,,
11/30/2019,272,,,,
12/1/2019,263,,,,
12/2/2019,335,,,,
12/3/2019,313,,,,
12/4/2019,346,,,,
12/5/2019,355,,,,
12/6/2019,360,,,,
12/7/2019,276,,,,
12/8/2019,311,,,,
12/9/2019,329,,,,
